2018-05-25,用户名：苏掌柜的旅行日记,title：📷好多朋友给我说想了解丽江古城的游玩攻略和路线信息～分享给大家🌈【关于美食】,正文：📷好多朋友给我说想了解丽江古城的游玩攻略和路线信息～分享给大家🌈【我的选择】🏠客栈：携程和飞猪等各大平台都可以定🥗餐厅：梦想家三文鱼、云雪丽、和叔食府、土鸡米线（一定要掌柜推荐）、88号小吃（个人觉得一般）、阿婆腊排骨等。🍺酒吧：繁花酒吧、38号酒吧、夜色酒吧、大冰的小屋（客栈到大冰小屋超级近150米）。🌈【关于美食】🍲丽江五大火锅：腊排骨火锅、土鸡火锅、三文鱼火锅、黑山羊火锅、野生菌火锅（分季节）。🍛不可错过的云南美食：鲜花饼、包浆豆腐、牦牛肉、丽江粑粑、气锅鸡、纳西烤鱼、鸡豆凉粉、过桥米线、土鸡米线、烤乳扇、烤洱块、红心土豆、米灌肠、酸辣鱼、石锅鸡等等。‼️防坑建议：古城路边所谓的“美食城”，建议大家不要去吃，不正宗，不如当地的餐厅味道好，价格超高还不卫生。🌈【关于客栈】1、丽江古镇群分为：丽江古城、束河古镇、白沙古镇。丽江古城又叫大研古城，就是人们常说的丽江古城，推荐住在丽江古城里，逛吃逛吃比较方便，晚上酒吧也热闹。2、街边巷里都是各式各样的客栈民宿，大大小小风格迥异，选择自己喜欢的就好，淡季价格都在100一200左右，旺季要翻一倍，旺季来一定要提前订房，不然可能是有钱都住不到。3、古城里路面是石板路，坑洼不平，行李箱很难拖，如果你想住在很里面，提前联系好客栈，他们都会派人来接，古城里也有帮忙拉行李的三轮车大叔，价格10一20块一趟。4、我们选择的客栈是在古城里的五一街，出门1分钟就是管理局路口，不用拖着很重的行李箱到处跑，路口也是网红美食“阿婆腊排骨”，吃的也超级方便！🌈【关于穿搭】1、云南早晚温差大，在夏天衣服之外还需要带长袖长裤，平底舒适舒适的鞋子。2、衣服推荐大红大紫的民族风格，拍照非常的上镜，我穿的大红色，掌柜给我在拉市海拍的美极了！也符合环境的气质。🌈【关于其他】1、高原反应我是完全没有的，但同行的人有轻微高反发生，走路和上坡慢慢走就好。2、千万不要买路边的小卖部的氧气和药品，多半是伪劣假冒产品，反而对身体健康不好。3、不要盲目相信大众点评和美团上的晒单和评分，我们遇到过店家在结账前逼我们在网上写好评的，不排出很多店都有刷单的可能性。
2018-01-09,用户名：Nancy楠后,title：这里的店铺各具风格，每一个都是一道风景，有服装、扎染、茶铺、首饰、手鼓、铜器、鲜花饼，还有一直...,"正文：来之前，只是单纯的向往丽江慢生活文艺范，来之后，才能真正明白这其中真义。交通：从丽江三义机场到大研古城打拼车差不多25元一位，40分钟到古城。或者包车一辆4~5人座，80-100元。从丽江火车站到古城也比较近。2017年12月底去的时候，运气比较好，80元的古城维护费取消了.丽江古城内的一店一铺，都是经过规范的，木系建筑，吊脚顶，古香古色。丽江古城包括三个，大研古城、束河古镇、白沙古镇。其中大研是最大最为热闹的，束河相对来说比较静谧，小些。白沙据说是最小的，小到都觉得没有多少开发的价值，便被搁浅了。12月份的丽江是慢慢的，优雅的，文艺的。青石板，找一家古城边的客栈，坐在摇椅上晒会太阳，喝一杯普洱，看一下美景.晚上去酒吧听会歌，或者跳进舞池里尽情的宣泄.这里动静皆宜.怎么开心怎么来...大概是被丽江的节奏带的，连狗也如此慵懒。






















清晨的丽江，12月依旧绿绿的柳树...青石板路..慢走去赶工的阿姨...





随手拍的古城内一家客栈，这里的客栈都是绿树红花，令人心情愉悦

















茶铺





有意思的店铺，就是有点贵...

















石头桥边，那段酒吧喧闹，这里阿婆点灯





酒吧外围









打手鼓的姑娘个顶个的漂亮...
















织布机





















丽江酒吧很多，一到夜晚，四方街人挤人的喧闹，四面八方都是各种曲调.消费每家基本差不多，所以看大家喜欢的类型.歌手相对其他地方演唱水平高些。清吧也有很多，也可以透过窗户，看到里面弹吉他的是个颜值很高的帅哥还是美女。这里的店铺各具风格，每一个都是一道风景，有服装、扎染、茶铺、首饰、手鼓、铜器、鲜花饼，还有一直让你免费品尝的果茶铺等等。吃货来到这里也会有别样的惊喜，鸡豆凉粉，丽江粑粑、腊排骨、气锅鸡等等








“天雨流芳”是纳西语的音译，写在丽江木府旁的牌坊上，原来纳西语音意为读书去吧，或者上学去吧.丽江对文化的重视古来有之。包括古城边的市一中，高考成绩也是显赫的。丽江当地对于文化学习也是比较重视的。










天雨流芳的介绍雕塑





徐霞客对木府的评价





北有故宫 南有木府



这是一座人不想离去，必须离开后，也会万分怀念的城市。"
2018-06-07,用户名：紫檀葫芦,title：88号小吃店的小吃比较精细，味道醇厚，物美价廉，很值得来尝一尝,"正文：88号小吃店是丽江很有名气的一家小吃店铺，就在五一路中段。从四方街出发，找到五一路，过了大石桥后一直往东走，大约三百多米吧，路右边就是了，很好找的。他家每天都会有很多顾客在排队，要想错过都很难的。我们是吃完午饭后溜达到他家门口的，看到很多人在排队，我们也被诱惑的想尝尝他家的美味了。由于肚量实在有限，所以只买了它家最著名的小吃：鸡豆凉粉和丽江粑粑。




88号小吃店，总是人潮汹涌的，想找个座位都比较难呀。





他家的招牌小吃。





鸡豆凉粉是他家的头牌小吃，每个顾客都会点的。





我们也来了一份。这鸡豆是丽江的一种特产豆子，把鸡豆泡透磨细过滤成浆，然后煮熟，置入各种容器冷却成形，便是鸡豆凉粉。鸡豆凉粉外观呈灰白色，据介绍是一款消暑食品，将晶莹的凉粉切成长条，与红辣椒、绿韭、花椒、芥沫、酸醋等佐料腌拌起来，色香味俱佳，一碗入腹，既开胃又爽口，感觉好极了。





丽江粑粑也是这里的一款很受欢迎的美味。





丽江粑粑是纳西族独具特色的风味食品，其特点之一是色、香、味俱佳，其制作的主要原料是用丽江出产的精细小麦面粉，加注从玉龙雪山流下来的清泉合成面团，压成扁平的饼状，以平底锅文火烤熟煎成金黄色而成。丽江粑粑分为咸甜两类，可以根据各自口味任意选用。我们买的是甜味的，拿在手里，色泽金黄，香味扑鼻，吃起来酥脆可口，甜味柔和，回味无穷。



88号小吃店的小吃比较精细，味道醇厚，物美价廉，很值得来尝一尝。"
2018-01-05,用户名：跟着Sunny去旅行,title：...的土鸡米线，18一碗特别好吃，比蒙自源的好吃多了，汤很好喝，不过加汤还要收8块钱，感觉不太合理,正文：很多年前就一直想去丽江，始终对这艳遇之都充满着幻想，想去看一眼古镇到底是怎样的，想去尝一尝当地的特色。                                                                               人们常说人生中至少要有一次说走就走的旅行跟一次奋不顾身的爱情。                                                                丽江让我冲动了一次，下午公司刚通知放假，过了10分钟我就订好了来昆明的机票，打的顺风车到丽江。这次来丽江真的特别有意义，正好是跨年，晚上的古城特别热闹，一条街有好多酒吧，这里的酒吧跟其他地方的酒吧不太一样，类似于清吧，唱着民谣，烤着火，有意思极了！虽然古城是禁烟区，但是还是可以听见不远处传来烟花声，晚上的古城显得格外美。                                  当天还尝了当地有名的土鸡米线，18一碗特别好吃，比蒙自源的好吃多了，汤很好喝，不过加汤还要收8块钱，感觉不太合理。                                                                  还在那边编了脏辫子，于是也让自己美了一次，一根10块钱，虽然觉得收费有点贵，但是美也觉得值得了。这次的丽江之行还是很开心的，虽然没有艳遇，但收获颇多。
2018-10-01,用户名：山海于我,title：爱她的人为她流连忘返，不爱她的人说她太商业化。丽江古城的路弯弯曲曲，曲曲弯弯，全部是用石头或砖砌成的,正文：一千个人眼中丽江有一千个样子。爱她的人为她流连忘返，不爱她的人说她太商业化。  每一个人心中都有一个丽江，于你于我代表着不同的意义。  我很喜欢丽江的慢节奏和清新的空气，都说旅行中一定要有一个会拍照的朋友，陪着你说走就走，一起疯一起闹，用相机记录着每一个难忘的时刻，这大概是生活中最快乐的事。 丽江古城历史悠久，古朴大雅，风格独具，夜色迷人。我们的第一站来到了大研古城，这里是那么漂亮有魅丽。    古城北门的大水车是大研古城的标志，也是丽江的地标，即使街道上还没什么人，这里依然会有游客排队拍照的情况。最终我们还是插缝钻进去，在不断的凹造型中拍下了美美的游客照。接着我们来到了东巴许愿铃，到处绑着红绳的亭子。纳西族的风铃很美，伴随着微风，随风摇曳，发出阵阵悦耳的铃声，让我的心都平静了下来。    祈福求姻缘的亭子，到处绑着红绳，如经幡，迎风摇曳，有如正在诉说着情感的神圣和吉祥。纳西族的风铃很美，微风吹来，发出阵阵悦耳的铃声，此刻天地万物皆无色，我唯有虔诚叩上，期许我一世圆满。 丽江古城的路弯弯曲曲，曲曲弯弯，全部是用石头或砖砌成的。每一条路，每一条道，每一条巷，都镶嵌着一条淌着清清流水的小河。听说这水是从雪山上流下来的，途径这里，据说在古城里如果你迷路了只要顺着水流走就可以找到出口。    我想这里的前世；一定有一个和谐的村庄，有无数恩爱的夫妇，沧海桑田过去后，夫妇变成了今生的小径和奔流的溪水，世事变迁，他们相依相伴，不曾改变。    一年一度的古城金秋菊花展 让原本步入落叶的秋季充满了生机相约丽江两遍挂着的玉米 东北味十足 颇有过年的气氛。  古城的街道上随处可见的丽江旅游志愿者，有任何困难都可以找志愿者，再也不怕在错综复杂的古城里迷路了。    今年的大研古城金秋菊花展已是第十一届，菊展从9月20日开始至10月30日结束，预计国庆期间进入盛花期。届时有六条路线供游客观赏：1.黑龙潭南门—玉龙桥（玉河走廊）；2.玉河广场；3.新义街：古城口—积善巷—卖草场—密士巷—百岁桥；4.东大街：古城口—上石桥；5.新华街：大水车—翠文段—四方街；6.木府。    相比游客争相拥挤的古城内，古城口的玉河广场是丽江本地居民最喜欢来的地方，不管是白天还是夜晚，能歌善舞的纳西族人民都喜欢在这里随着音乐起舞。
2018-05-26,用户名：苏掌柜的旅行日记,title：不然万一太急着玩高反了就尴尬了！比酒吧的气氛还好，好可惜，没听到！💖Day1：『广州一一丽江』,"正文：关于行程🏔️🌌🌠🌄🏕💖Day1：『广州一一丽江』因为是下午到的丽江，第一天以休整为主，刚办好入住，客栈的掌柜就泡茶给我们喝，坐在客栈喝喝茶，晒晒太阳，好惬意😋😋🔶游玩建议：我们住的客栈在丽江古城里，五一街，出行很方便，房间风格也简单，价格也不贵，淡季才100多，附近还有网红店“阿婆腊排骨”，就在掌柜客栈上面2分钟，炒鸡好吃又便宜。掌柜还会弹吉他唱歌🎤，以前他还是丽江古城街头艺人，每天晚上在街上卖唱，听他说起气氛超级好，随心，自在。比酒吧的气氛还好，好可惜，没听到！😫😫
































💖Day2：种草打卡『丽江古城、丽江千古情』因为丽江也属于高原地区，海拔在2400米左右，所以我们第一天就在古城逛了逛，适应一下海拔高度！不然万一太急着玩高反了就尴尬了！😂

















丽江古城有几百年历史了，到处都是卖东西的，有喜欢的可以看看，不喜欢就自己溜达。我倒是比较喜欢这里的古建筑和文化气息，这里有20几个少数民族，经过几天的接触，觉得他们很热情善良，不像网上报道的那么野蛮🤔🤔，哪里都有好人，都有坏人，我们也不应该带着有色眼睛去看这个世界。白天的古城，相对来说比较安静，四方街中午就有表演，坐在广场上晒着不要钱的太阳，呼吸新鲜甘甜的空气，体验一下丽江的慢生活。
































下午客栈掌柜帮我们定了网红“丽江千古情”，非常的震撼，还有抖音上的那个洪水“丽江恋歌”😂😂，炒鸡壮观，整个演出主要讲的是纳西族文化木府文化、茶马古道马帮文化、泸沽湖走婚文化、玉龙雪山殉情谷等等，像我比较喜欢这种文化人文，特别是茶马古道那一段感动的我眼睛都湿了！😭😭
































晚上的古城就开始热闹了，酒吧街灯红酒绿的，吵得很，我不太喜欢太闹的酒吧，一些小巷子倒是很有意境，在大水车背后的狮子山可以看古城全景，很美，很安静，像画一样！🌃🌃"
2018-12-29,用户名：hmck5606,title：...油纸伞的小巷子，开满鲜花的小店子……很多人都说丽江近年来越来越商业化，开始往大家不喜欢的方向走,正文：丽江古城位于又叫大研古镇，始建于宋末元初（公元13世纪后期），面积为七点多平方公里（这些都是木府的导游小姐姐讲解的~）她说如果我们想逛完丽江的大街小巷，可能得需要个三四天整的样子。丽江古城内的街道依山傍水修建，以红色角砾岩铺就，有四方街、木府、五凤楼、黑龙潭、白马龙潭寺等景点。丽江为第二批被批准的中国历史文化名城之一，是中国以整座古城申报世界文化遗产获得成功的两座古城之一（另一座好像是平遥）。丽江古城有着多彩的地方民族习俗和娱乐活动，四方街好像会有定时演出，别具一格。走在古镇的大街上，你可能会遇上各种有意思的店家，我们就碰上了叫我们“表妹”的小哥哥，呦呵着让我们进店喝茶，土味情话一波接一波，超级有趣~古镇里的巷子四通八达，不用导航也能找到很有趣的地方。别人朋友圈的丽江终于也开始出现在我的朋友圈里，满街的鲜花饼，各式的土鸡排骨米线，各种民族服饰店，晚上不论走到哪条街都会有歌声传进耳朵，吊满油纸伞的小巷子，开满鲜花的小店子……很多人都说丽江近年来越来越商业化，开始往大家不喜欢的方向走。可我依然喜欢这座古镇，喜欢它冬日里的阳光，喜欢带庭院的客栈，喜欢它对一切的包容，更喜欢一路上在这里遇见的每一个可爱的人。
2018-11-07,用户名：我也许三分钟热度,title：...椒等等，吃的时候拌匀，口感很爽口，鸡豆里面富含了很多氨基酸和维生素的营养物质，很好吃的一道小吃,正文：88号小吃店在五一街上，找不着可以地图导航哦，直接搜索就好了。88号小吃店物美价廉，就是环境还可以再提升一下，刚开始走进去有点后悔的感觉，但是吃到东西之后，我们都觉得值了哈哈。干锅排骨，炒的料很有味道，整个排骨都浸泡在汤汁里，很入味，上面还有香菜，端上来的时候就已经香气弥漫了。东巴烤鱼，这个也很好吃，上上来很大一盘，鱼的口感很嫩，上面盖了一层辣椒，香而不辣，里面还有土豆，黄豆，魔芋一些配菜，魔芋很爽口。包浆豆腐，口感有点像我们长沙的臭豆腐，外酥里嫩，包浆豆腐配的是粉末状的调料，蘸着吃，趁热吃会很好吃。纳西粑粑，这个是第一盘上上来的，以为就是和普通的饼味道差不多，没想到有点意外的好吃，夹上配的小菜，有点辣味，又有饼的香味。鸡豆凉粉，据说这道小吃有几百年历史了，是条状的，上面放有醋，酱油，辣椒等等，吃的时候拌匀，口感很爽口，鸡豆里面富含了很多氨基酸和维生素的营养物质，很好吃的一道小吃。灌米肠，这个比较一般了，但也不算难吃，也许是吃撑了，就是肠子里面灌的糯米，也配的有粉末状调料蘸着吃，和普通的肠味道差不多我觉得。水性杨花，当地很著名的一盘青菜，这个菜我不爱吃，没什么味道。还有他们家自制的酸梅汤，味道还可以。总的来说，我觉得性价比很高，价格不是很贵，能吃很饱，而且全都是当地特色，很齐全。
2018-10-18,用户名：Andra佳晴,title：...城历史文化之旅》《丽江古城建筑鉴赏之旅》《丽江古城水文化之旅》。绝对不会错过丽江古城的任何景点,"正文：丽江的美一直让我念念不忘，比起大理古城更有味道。丽江古城有玉泉水贯穿全城，由古城分成西河、中河、东河三条支流，再分成无数股支流。城内也有多处龙潭、泉眼出水。古城利用这种条件，街道布局自由,不求工整，主街傍河，小巷临渠，清澈的泉水穿街流镇，穿墙过屋, “家家流水,户户垂杨”的诗意是这座古城的真实写照，这里虽是云贵高原小镇，却颇有江南水乡的特色。








【门票】丽江古城全天开放，白天适合逛街购物，晚上酒吧夜店更热闹。丽江的门票叫做古城维护费2019年1月1日调整为50元/人，即使去古城没交去很多景点的时候也会检查，建议早交早轻松。Tips：十一期间去没有人收古城维护费，不知道调价前还收不收，建议去之前咨询一下本地客栈老板有没有开始收维护费！








【建议】去到丽江非常推荐在微信上搜索一个叫《游云南智慧景区》的小程序，不仅每处景点都有语音解说，还可以导航带你去各个景点、卫生间、服务点还有热门拍摄位置，关键是里面还有三条丽江古城定制路线《丽江古城历史文化之旅》《丽江古城建筑鉴赏之旅》《丽江古城水文化之旅》，绝对不会错过丽江古城的任何景点！！














【吃、住】淡季来丽江非常推荐住在古城中心四方街周围的客栈，非常方便，淡季价格也不贵基本都是150左右一晚。吃的话除了街边小吃推荐直接在美团上买饭店的套餐，很多餐厅的4人餐套餐价在128~138左右，我们五个人吃都够。不推荐街道边的那些美食城，卖的很贵而且质量不好。【购物Tips】不管买什么东西都记得杀价，使劲杀，不要心软！！！我给大家一个参考：女生编辫子10元3根能杀到10元6根！街边豆腐25元一份可以讲到15/份！90/件的衬衫最后成交价40！也不用担心被宰，现在每家店都有价格公示牌，价格投诉电话随处可见，一路走下来也没有遇到过宰客的。很多路口都可以看到有丽江旅游志愿，遇到什么困难都可以找他们，很贴心。














去的时候遇到古城菊花展，古城的大街小巷、河畔、石阶等都成为了菊花的落脚之处








































四方街西边的伞街，晚上特别美，手机加个滤镜拍的，美的像画一样"
2018-10-14,用户名：安妮1975,title：太阳晒着后背特别温暖，游人挺少的，就这么闲逛闲逛的绕了一大圈，与之前来过时相比，古镇又新建了很多店铺,正文：丽江的慢生活记录（2018.10.14）    没睡好，因为昨晚和贝小妞吵架生气，脑子里不停的浮现她说的那些伤人的话，也心生感叹没教育好这个孩子，让她不知道感恩是什么！    一大早6：48分习惯性醒来，因为在家时两只狗狗都会在这个时刻哼唧着要出去溜溜了，打开家里的监控看了看狗宝们，小白已经醒了在沙发上嚎叫，糖宝应该是在窝里没见到踪影。每天都挺放心不下的看看监控，确认狗狗们安好才能放心。    窗外多云，有毛毛雨，天气预报说今天是晴天啊！不过丽江的天气真是这样琢磨不透，一会儿晴一会儿雨的！昨天在超市购物结账也没仔细看小票，晚上才发现被多收了钱，准备今天出门第一件事就是去退款，还好刷卡小票和结账明细都在。洗澡出门时，昨晚刚来的室友还在沉睡，也是一个人独行，看行李装备应该是常在路上行走的女侠客！    到超市顺利的退了款，太阳也冒出了头，阳光明媚蓝天白云瞬间心情好了许多，坐上车去雪山小镇看看！下车后走了10分钟左右到达目的地，空旷，有艺术气息的小镇，大大的绿色草坪广场，各式各样的小楼林立，太漂亮了！几乎没有行人，有两对拍写真的年轻人在摆着造型照相，小镇里的房子最多的就是摄影工作室，还有一栋玻璃房子特别好看，远处是山，白云缠绕，住在这里真是太幸福了！    时间还早，逛完了小镇顺路去束河古镇看看，已经来过了两次，莫名的喜欢，最爱古镇里的清泉和花草，安静且祥和的古镇，没有太多的商业喧嚣，觅一蛋糕店坐下休息，点了三块蛋糕一杯牛奶解决了午餐。太阳晒着后背特别温暖，游人挺少的，就这么闲逛闲逛的绕了一大圈，与之前来过时相比，古镇又新建了很多店铺，街道规划的更漂亮了，走到熟悉的地方又勾起了那年的美好回忆！感觉束河特别适合人类居住，景美人少空气新鲜！逛了大半天好累，坐了车回去休息吧！青旅今天又来了一个小伙伴，进门就嚷嚷着要去泸沽湖，我对面的女孩悠悠的说，不好别去，我不推荐。哈哈哈哈！睡会儿。。人体电量不足，需要充电啦！
